name,price,brand,series,model,rating,os,cpu_type,cpu_speed,cores,storage,memory,gpu_type,gpu_memory,screen
"Refurbished: Apple Laptop MacBook Pro MD318LL/A-R Intel Core i7 2675QM (2.20 GHz) 4 GB Memory 500 GB HDD AMD Radeon HD 6750M 15.4"" Mac OS X v10.7 Lion",469.00,Apple,MacBook Pro,MD318LL/A-R,4,Mac OS X v10.7 Lion,Intel Core i7,2675QM (2.20 GHz),,500 GB,4 GB,AMD Radeon HD 6750M,512 MB,"15.4"""
"Refurbished: Apple MacBook Pro 15.4"" Laptop - Intel Core i7 2.0GHz Quad (turbo up to 2.90GHz), 8GB Ram, 240GB SSD, AMD Radeon HD 6490M, MacOS High Sierra v10.13 - A1286 MC721LL/A (2011)",509.00,Apple,MacBook Pro,A1286,,Mac OS X v10.13 High Sierra,Intel Core i7,2.00 GHz,Quad-core Processor,240 GB,8 GB,AMD Radeon HD 6490M,256 MB,"15.4"""
"Apple 13.3"" MacBook Pro with Touch Bar (Mid 2019, 512GB SSD, Space Gray)","1,795.00",Apple,,,,,,,,,8 GB,,,"13.3"""
"Apple - MacBook Air - 13.3"" Retina Display - Intel Core i5 - 8GB Memory - 256GB Flash Storage (Latest Model) - Silver","1,399.99",Apple,,,1,Mac OS X v10.14 Mojave,Intel Core i5 8th Gen,8210Y (1.60 GHz),,,8 GB,,,"13.3"""
"Refurbished: Apple Grade D Laptop MacBook Air RRMMGG2LL/A-D Intel Core i5 1.60 GHz 8 GB Memory 256 GB SSD 13.3"" Mac OS X v10.10 Yosemite",461.99,Apple,MacBook Air,RRMMGG2LL/A-D,,Mac OS X v10.10 Yosemite,Intel Core i5,1.60 GHz,,256 GB SSD,8 GB,,,"13.3"""
"Refurbished: Apple MacBook Pro 13.3"" Retina Laptop - Grade A - 5th gen Intel Core i5 2.70GHz, 256GB SSD, 8GB RAM, Intel Iris Graphics 6100, 2560x1600 res, MacOS Mojave v10.14 - A1502 MF839LL/A (2015)",669.00,Apple,MacBook Pro,A1502,,Mac OS X v10.14 Mojave,Intel Core i5,5257U (2.70 GHz),Dual-core Processor,256 GB SSD,8 GB,Intel Iris Graphics 6100 graphics processor,,"13.3"""
"Apple 16"" MacBook Pro (Late 2019, Space Gray) with Airpods 2 Bundle","2,767.99",Apple,,,,,Intel Core i7,2.60 GHz,,,16 GB,,,"16.0"""
"Refurbished: Apple MacBook Pro ME294LL/A Intel Core i7-4850HQ X4 2.3GHz 16GB 512GB SSD, Silver (Scratch and Dent)",894.97,Apple,,MacBook Pro ME294LL/A,,Mac OS X v10.9 Mavericks,,,Quad-core Processor,,,NVIDIA GeForce GT 750M,,"15.4"""
"Refurbished: Apple MacBook Pro ME864LL/A Intel Core i5-4258U X2 2.4GHz 4GB 128GB, Silver (Certified Refurbished)",575.00,Apple,,MacBook Pro ME864LL/A,,Mac OS X v10.9 Mavericks,,,Dual-core Processor,,,Intel Integrated Graphics,,"13.3"""
"Refurbished: Apple A Grade Macbook Pro 15.4-inch (Retina DG, Space Gray, Touch Bar) 2.7Ghz Quad Core i7 (Late 2016) MLH42LL/A 512GB SSD 16GB Memory 2880x1800 Display Mac OS Sierra Power Adapter Included","1,309.00",Apple,MacBook Pro,,,Mac OS X v10.12 Sierra,Intel Core i7,2.70 GHz,Quad-core Processor,512 GB,16 GB,AMD Radeon Pro 455,2 GB,"15.4"""
